Class Label,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22
1,4.1231,2.8284,6.0828,8.6023,5,3,5,3.6056,8.6023,8,9.2195,4,9.0554,8.9443,5.099,4.1231,11.0454,8.6023,4.1231,14.8661,14,15.2315
1,6.3246,5,7.6158,6.0828,4.2426,2.2361,6.4031,4.4721,8.9443,7.0711,10.4403,6.0828,12.0416,9.2195,3.6056,13.3417,12.1655,11.4018,4.1231,17.72,16.0312,19.7231
1,5.6569,5.6569,8.544,5,3.1623,3,10,3.6056,10.2956,6.0828,11.0454,6,11.0454,7.0711,7.6158,7.2111,14.3178,8.6023,6.3246,20.5913,17.4642,18.9737
1,12.0416,13.3417,8.9443,11.1803,8.4853,6.4031,4,5.831,6.0828,11.7047,9.2195,2,13.3417,9,6,4.1231,1.4142,4,8.9443,10.198,7.6158,13.0384
1,10,14.1421,13.6015,12.083,9.8995,7.0711,4.4721,9.8489,5,4.4721,4.1231,5.3852,8,6.4031,6,7.2801,7.8102,5.3852,8.6023,10.4403,9.2195,13.8924
1,12.8062,13,12.6491,9.0554,9.8995,5.831,5.3852,8.6023,4.1231,7.2111,7.2111,7.0711,13.4164,9.4868,4.4721,8.0623,8.0623,5.831,8.9443,12.6491,10.198,12.53
1,17,13.4164,13.6015,14.3178,1.4142,5,9,5.831,3.1623,3.6056,3.6056,3.1623,5.099,7.0711,5,1.4142,0,2.2361,4.1231,9.2195,4.4721,5.3852
1,14.1421,10.7703,13.3417,12.3693,2,5.099,8.0623,5.099,4.1231,2.2361,1.4142,4.1231,4,8.0623,7.0711,2.2361,1.4142,5.099,5.6569,8.6023,3.6056,4
1,15,12.3693,15.5242,12.6491,4.4721,4.4721,9.2195,5,1.4142,5,4.4721,7.0711,3.1623,7.8102,8.9443,0,3.1623,2,5.6569,11.4018,2.2361,4
1,11.7047,5,7.6158,8.6023,6.0828,2,5,2,1.4142,4,3.1623,3.6056,8.544,10.4403,6,9.2195,7.0711,10.0499,6.3246,7.6158,6.0828,5.3852
1,7.0711,4.1231,10.4403,12.8062,2.2361,2.2361,3.6056,3,2,1,2,3.1623,5.831,7.0711,7.6158,9.4868,8.544,11.7047,8.2462,7.2111,6.0828,5.3852
1,7.8102,7.0711,10.4403,7.6158,5.6569,1,1.4142,2.8284,1.4142,1,2,3.1623,4.2426,10.2956,5.099,11.0454,10.198,11.1803,8.0623,8.4853,5,4
1,8.0623,5.831,5.099,6.4031,1.4142,1,2,3,2.2361,2.8284,3,2.2361,9.4868,10.7703,7,5.099,6.3246,6.3246,6,8.0623,7,5
1,9.2195,7.2111,7,7.0711,4.1231,2.2361,1,2.8284,4.1231,2,1,3.6056,8.2462,9.8489,7.6158,6.0828,9.4868,8,7.2801,8.2462,6,9.4868
1,9.2195,6.7082,8.6023,8.0623,2.2361,4.1231,2.2361,4.4721,2.2361,1.4142,2,1.4142,9.8489,10.7703,6.7082,5.3852,7.0711,5.3852,5.099,7.0711,7.0711,6.0828
1,4.1231,5,2.2361,2.2361,3.1623,4.4721,2,4.4721,4.4721,1.4142,1,5,16.7631,16.1555,10,12,10.7703,12.1655,11.7047,16.0312,14.0357,12.0416
1,5.3852,2.8284,6.3246,7.6158,2,4,3.1623,3.6056,2.2361,1,2,0,13,14.8661,11.0454,10.0499,9.2195,12,13,13.1529,13.1529,14.1421
1,5,3,4.1231,6.3246,3.6056,3,4.1231,3,1,1.4142,2.2361,1,13.6015,15.2315,12.1655,12,11.1803,12.0416,13.4164,14,16.4924,15.1327
1,6,4.2426,8.9443,4,2.8284,3.1623,3.6056,3.6056,2,4.1231,2.2361,1.4142,9.2195,7.2801,9.2195,9.2195,7,9.0554,14,6.0828,5.099,6.0828
1,4.4721,4.2426,8.0623,3.6056,1,0,2.2361,3.1623,3.1623,2.2361,3.1623,1,8.0623,8.0623,11.1803,8,7.0711,9.0554,12.0416,7.0711,9,8.0623
1,5.831,1.4142,5,2.8284,2,2.2361,3.1623,3,1.4142,2,5.3852,2.2361,10,7.6158,10.198,7,4,10.4403,13.0384,7.0711,10,9.0554
1,6.0828,4.4721,6,4.4721,1,3.1623,4,1.4142,7.0711,4.4721,1.4142,4.2426,12.0416,14.3178,7.0711,10.0499,12.1655,10.7703,9,15.5563,12.1655,14.5602
1,8.0623,6.7082,6.7082,5.3852,3.1623,5,7,3.6056,5,3,1,5,12,15.5242,11.4018,12.0416,13,11.4018,12.0416,16.5529,14,16.5529
1,7.6158,4.1231,7.2111,5,6.3246,4.4721,4,2.2361,5,2,2.8284,3.1623,13.1529,13.6015,9.2195,13,13.0384,12.0416,9.0554,16.2788,14.0357,18.3848
1,7.8102,7.6158,6.0828,5.831,5.099,1,2.8284,5,1,3.1623,0,7,16,15.5242,15.6525,15.2971,21.0238,18,14.5602,13.3417,12.3693,14.4222
1,3.6056,6,7.2801,5.831,9,3.1623,4.2426,3,5,3.1623,1.4142,3,14.0357,17.2627,14.0357,16.0312,21.2132,18.1108,16.1245,14.0357,13.1529,15.5242
1,2.8284,5,6,3,6.0828,2.2361,4.2426,4,4.4721,2.8284,1.4142,6,14.3178,17.2627,13.1529,17.0294,25.02,19.2354,14,14.1421,13,14.3178
1,14.7648,14.7648,11.7047,15.6525,3.1623,4.1231,7.2111,6.4031,5,5.099,5,4.1231,6.4031,1,7.0711,5,6,3,7,5,4.1231,6.4031
1,13.0384,12.53,10.8167,13.8924,5,4.1231,5.3852,5.831,6.0828,5.831,7.2111,4.4721,5.3852,2.8284,5,2,4.2426,4.1231,7.2111,5,4.1231,5.099
2,3.1623,9.8489,9.8489,5,1,2.2361,5.6569,2.2361,5,3.1623,2.2361,3,7.2111,9.2195,21.6333,15.8114,8.544,18.3848,25.4951,19.2354,14.0357,18.3576
2,7.2111,13.6015,1.4142,2.2361,3.1623,2,4.4721,7.0711,3,3,2.2361,1,4.4721,7.2111,21.4009,17.2627,8,13,24.6982,19.7231,12.3693,18.3576
2,4.4721,11.4018,5.3852,8.9443,5,4.4721,6.4031,4.2426,3.6056,4.2426,2,2,4.1231,8.4853,23.6008,14.3178,9.4868,14.8661,22.2036,18.868,13,15.6525
2,3.6056,5.831,6.4031,5.6569,6.7082,5.3852,2.2361,5.6569,2.2361,6.0828,10.4403,1,7.2111,3,28.4253,20.3961,10,9.0554,19.4165,11.0454,8.6023,19.2354
2,2.2361,6.3246,3.6056,8.6023,3.6056,2,5.099,2.8284,2.2361,5.831,10.198,4.4721,8.0623,3.1623,24.0832,21.587,12.7279,9.2195,24.8395,12.6491,10.8167,19.4165
2,3.6056,2.2361,5,7.0711,6.7082,7.0711,2,5,2.2361,2.8284,9.2195,1.4142,10.8167,4.2426,25.807,18.0278,10.8167,8.4853,20.1246,11.4018,13.4536,20
2,3.6056,6.3246,7.8102,6,3,2,1.4142,3.1623,4.4721,1,5.3852,6.0828,5.6569,5.3852,12.53,9.0554,9.0554,10.4403,20.2485,17.0294,12.8062,15.6525
2,1.4142,7.8102,12.083,6,6.4031,1.4142,1,4.1231,3.1623,2.8284,4.2426,8.9443,7.0711,8.6023,11.7047,8,7.0711,12,20.2485,16.4012,7.6158,11.0454
2,0,7.2111,7.2111,5.099,4.2426,2,3.1623,3,1.4142,2,2.8284,10.6301,6.3246,7.2111,13.4164,14.0357,6.7082,13.3417,23.3452,19.8494,12.2066,13.0384
2,2.2361,4.2426,1.4142,4.1231,5,1,1.4142,2,2,3,3.6056,4.1231,2.2361,1.4142,13.6015,15.6525,13.9284,14.3178,17.8885,8.544,6.4031,4
2,2.2361,2,1,3.1623,2.8284,1.4142,1.4142,2.2361,2.2361,1.4142,2,2.2361,2.2361,4.4721,16.4012,16.2788,12.1655,12.6491,16.1245,9.4868,5.831,5.6569
2,2.2361,3.1623,1.4142,5.099,3.1623,2.2361,2.2361,2,2.8284,4.1231,4,2,3.6056,2.2361,13.6015,13.9284,12.0416,10,15,10.2956,6.4031,6.3246
2,3.1623,2,4.1231,6.4031,5,2.2361,2,1.4142,2.2361,3.6056,3.6056,2.8284,5.831,2.2361,13.4536,10.198,11.0454,8.0623,18.6011,11.6619,6.0828,9.8489
2,1.4142,2.8284,3.1623,3.6056,4.4721,4.4721,1,0,1,3.1623,5,3.6056,9.4868,4.2426,16.4012,9.0554,8,8.2462,19.8494,14.2127,9.4868,12.083
2,0,1.4142,2.2361,4,2,5.3852,1.4142,1.4142,3.1623,4.4721,4.4721,2,5.3852,4.4721,16.1245,7.2801,9.434,12.0416,23.6008,15.6205,9.2195,11
2,4.4721,8.2462,5,2.8284,7.0711,3.1623,5,4.2426,5.3852,4.1231,2,2,5,3,9.8995,14.2127,16.4924,11.0454,7.2111,6.4031,3.6056,8.9443
2,2.2361,3,1,1,7.0711,5.3852,5.831,3.6056,3.1623,2,4.1231,2,6,1,8.544,11.7047,13,8.9443,8.4853,5.6569,2,7.2111
2,1.4142,8.0623,4.1231,3.1623,5,5,5.831,3.6056,5.6569,5.099,0,2,6,2.2361,7.8102,13.6015,16.7631,10.7703,8.6023,7.6158,5,7.8102
2,2,1,3.1623,5.099,5.099,1,3.6056,3.1623,4,4.2426,2.2361,1,5.3852,6.4031,12.53,7.2111,0,5,24.0416,12.0416,7,10.0499
2,2,0,2.8284,1.4142,2.8284,1,4.2426,3,2.8284,3.1623,1,2,3.1623,8.0623,15.2643,9.8489,5.099,11.4018,21.9317,11.6619,8.0623,11.7047
2,3.1623,4,1,2.2361,5.831,4.1231,2.8284,2.2361,5.099,4,2,3.1623,6.7082,7.0711,15.6525,10,3.6056,9.434,21.9317,10.198,8.544,13.4164
2,4,4.1231,6.0828,3.1623,2.2361,1.4142,5.3852,5.3852,5.3852,4.4721,3.1623,7.2111,4,8.544,14.1421,16.4924,15.2971,10.8167,8.6023,3.6056,2.8284,7.8102
2,5.099,7,5,5.099,5,2.2361,4.1231,5.099,5.099,7.0711,3.1623,2.8284,1,5.6569,14.2127,16.5529,16.4924,15.6205,10.6301,4.2426,3.6056,4.4721
2,2,8,8,4,2,1,4,5,5,3,3.1623,5.6569,2.2361,6.4031,16.2788,18.0278,18.0278,17.8045,10,3,4.2426,5.831
2,5.3852,7,4.4721,2.2361,5,3.6056,5.831,2.2361,3.6056,4.4721,5.099,7.8102,8.9443,10.8167,15.2643,8.4853,6.0828,4,12.0416,11.4018,11.0454,11
2,2.2361,5,4.4721,1.4142,4,2.8284,5.3852,2.8284,5.3852,5,6.0828,7.2111,11.4018,13.4164,14.3178,7.8102,5.3852,9.0554,17.0294,16.1245,11.6619,11
2,2.2361,4.1231,4.2426,3.1623,2.2361,2.2361,5.099,2,5.3852,6.7082,6.0828,9.434,8,10.7703,14.3178,5,2.8284,6,12.8062,13.6015,13.3417,13.0384
2,2,5.3852,3.1623,5.3852,1.4142,2.8284,5.6569,1.4142,2.2361,4.4721,3.1623,5.099,4.2426,2.8284,15.8114,9.0554,6,7.2801,15.5563,6.3246,6.0828,12.6491
2,4.1231,5,4.1231,1,2,2.2361,4.4721,4.4721,1.4142,2.8284,3.1623,7.0711,4.1231,3.1623,14.3178,8.2462,5.3852,8.0623,18.3848,7.8102,6.7082,12.1655
3,13.6015,13.9284,18.0278,25.1794,2,1,1,6.3246,1,4,5,5.3852,3,3.1623,29.0689,42.2966,59.3043,51.0882,25.632,8.0623,7.0711,6.4031
3,14.1421,17.088,18.0278,24.1868,4.1231,2.8284,2.2361,4.1231,1,5,7.6158,4,0,3.1623,25.632,45.1774,60.1332,51.0098,27.8927,6.0828,5.3852,8.6023
3,14.5602,15.2971,17.0294,22.3607,1.4142,4.2426,2,3.6056,2.2361,3.6056,5,8.0623,0,3.1623,27.2029,41.7732,62.2013,48.0416,27.8568,10.0499,5.099,8.0623
3,10.7703,13.8924,13.1529,15.1327,7.0711,4.1231,3.6056,4.2426,2,3.1623,2.8284,2.2361,4.4721,6.0828,26.4008,46.0435,60.0333,46.2709,19.2354,2.2361,1.4142,3.1623
3,10.0499,13.6015,13.4164,16.0312,3.6056,5.3852,5,3.1623,1.4142,5,5.831,2,6.3246,3.6056,28.2312,53.0848,59.0762,49.0918,23.7697,2,1,3.1623
3,11.0454,13,12.0416,16.4924,5.099,4.4721,5.099,2.8284,0,2.8284,2.8284,1.4142,2,3.1623,25.2982,49.0918,58,47.0956,17.4642,3,1.4142,5.099
3,21.2132,26.0768,29.1204,29.2746,7.8102,5,5,6.7082,7.2801,2.2361,5.3852,10.4403,4.4721,6.0828,15.1327,45.0444,62.0725,42.9535,16.7631,5.831,6.0828,6.0828
3,23.0868,25.318,27.8927,26.0192,8.6023,5,5,7.6158,5.3852,3.6056,3.1623,7.6158,1.4142,3,11.0454,42.2966,64.1249,42.45,11.4018,7.8102,7.0711,7.6158
3,22.3607,23.0868,29.7321,27.1662,8.0623,4.4721,5,7.6158,5.6569,4.4721,4.2426,8.0623,3,4.1231,8.6023,38.4708,64.1249,40.8044,11.4018,9.434,5.099,7.6158
3,16.1245,18.868,18.0278,15.2315,8.544,7.2111,7.0711,6,4.2426,4.4721,4.4721,10,6.7082,4.4721,2.2361,15.5242,23.0868,14.1421,7.0711,8.4853,7.6158,7.0711
3,13.0384,15.8114,16.1555,15.2971,8.6023,7.8102,9,6.0828,6.4031,5.831,5.6569,12.8062,8.4853,7.2111,1.4142,16.4924,25.0799,17.1172,6.4031,3,8.544,5.831
3,12.6491,14.3178,16.2788,15.8114,8.2462,6.4031,7.0711,7,7.2111,5.6569,7.0711,9.8995,6.4031,3.1623,2.2361,15.2971,22.0227,15.0333,7.2111,3.1623,8.544,7.0711
3,31.257,35.3553,34.7131,35.9026,16.2788,16.4924,19.2354,16.4924,17.1172,18.1108,16.0312,19.2354,18.1108,17.4642,10.198,9.434,12.6491,7.2111,6.3246,18.0278,18.1108,17.2627
3,35.1283,36.0139,40.1622,38.0789,18.4391,18.4391,20.3961,18.4391,19.6469,19.0263,18.1108,23.5372,18.4391,20.2485,13,11.3137,10.8167,8.0623,10.0499,19.9249,21.3776,19.6469
3,33.0151,35.2278,39.2938,40.025,17.4642,18.2483,19.9249,19.9249,19.6469,20.0998,18.1108,24.5153,18.4391,18.9737,13.6015,8.6023,9.2195,8.544,7.6158,19.9249,21.587,21.587
3,12.3693,20.2237,13.3417,19.6977,13.3417,12.6491,13.1529,12.3693,14.7648,13,12.3693,13.6015,11.4018,9.2195,7.0711,27.313,35.4401,27.2947,11.4018,10.6301,15.8114,13.4536
3,12.3693,16,12.0416,13.9284,10.4403,12.1655,9.4868,9.0554,12.8062,11.6619,10.7703,9.4868,9.2195,5.3852,10,28.7924,38.8973,30.5941,12.2066,5.831,11.6619,12.53
3,13.1529,16.0312,15.5242,16.5529,12.6491,12.6491,12.083,13.3417,13.4164,12.53,11.1803,11.1803,7.0711,6.3246,9.0554,27.8568,36.1386,28.6356,14.4222,8.4853,13.6015,11.4018
3,6.0828,12.1655,5.3852,14.0357,6,5.099,8.0623,4.1231,3.1623,4.4721,8.9443,6,3.6056,3.6056,7.2801,25.4951,40,28.4605,5.3852,2,4.2426,2.8284
3,9.0554,15.1327,10.0499,13.6015,3,4.4721,6.7082,5.3852,3.1623,4.1231,7.0711,3.6056,2.2361,3,6,22.1359,36.0555,26.8328,6.3246,2.2361,4.1231,3.1623
3,10.4403,15,11.0454,16,6,7,8.6023,6.0828,4.1231,6.3246,10,4,2.8284,2,9.2195,24.3311,37.054,26,5.099,4,3.6056,2.2361
3,9.8489,17,15.5242,16.0312,8.6023,10.6301,9.2195,8.4853,6.4031,8.9443,6.4031,7.6158,9.8995,6,19.105,30.0167,47.676,33.3766,14.0357,4.1231,10,6.7082
3,7.2801,15.8114,14.3178,15.0333,5.831,6.4031,6.7082,6.7082,4.1231,9.434,7.2111,7.6158,5.3852,6.0828,19.4165,35.1283,50.636,34.7131,17.1172,1.4142,7.6158,7.2111
3,8.0623,15.8114,17.088,15.2971,7.6158,7.0711,9.2195,6.4031,5.831,6.7082,5,10.2956,8.6023,3.1623,19.8494,34.0588,49.6488,34.7131,19.105,2.2361,8.0623,5.099
3,2.2361,10.7703,9.2195,9.8995,12.0416,11.6619,12.7279,11.6619,14.4222,12.083,12.6491,12.53,15.2315,18.7883,30.2655,44.0114,55.0818,47.0956,29,11.4018,11.1803,14.3178
3,9.8489,16.1555,13.4536,16.4012,13.0384,7.2111,6.3246,6.4031,7.0711,7.8102,6.4031,4.1231,11.3137,9.434,23.7697,33,46.0977,34.1321,20.0998,4.4721,7.8102,9
3,5.3852,11.4018,12.2066,11.4018,6.4031,8.6023,12.2066,9.8995,12.0416,11.1803,12.0416,8.6023,16.5529,15.2315,26.6833,39.0128,52.0384,41.0122,27.0185,7.2801,10,10.198
3,10.0499,13,13.3417,17.4642,7.8102,5,3.1623,5.099,3.6056,6.4031,5.831,2.2361,7.2801,2.2361,8.2462,18.1108,24,18.0278,6.3246,5.3852,5.099,2
3,12.0416,15.5242,13.9284,18.0278,6.7082,6.0828,3.1623,5.099,3.1623,6.4031,6.4031,2.2361,6.0828,2.2361,8.9443,23.0217,32.0156,24.0208,8.9443,6.4031,5,2